iter	Passed	Remaining
402	13802	10171
403	13837	10138
404	13865	10099
405	13897	10063
406	13932	10030
407	13964	9994
408	14000	9961
409	14034	9926
410	14066	9890
411	14098	9855
412	14132	9820
413	14164	9785
414	14196	9749
415	14231	9715
416	14267	9682
417	14302	9649
418	14333	9612
419	14364	9576
420	14398	9541
421	14432	9507
422	14465	9472
423	14500	9439
424	14535	9405
425	14573	9373
426	14605	9337
427	14639	9303
428	14671	9267
429	14703	9232
430	14739	9199
431	14770	9163
432	14805	9129
433	14832	9091
434	14861	9053
435	14894	9018
436	14925	8982
437	14964	8951
438	14995	8915
439	15030	8881
440	15061	8845
441	15092	8809
442	15124	8774
443	15153	8737
444	15192	8705
445	15228	8672
446	15261	8637
447	15294	8602
448	15326	8567
449	15363	8535
450	15395	8500
451	15426	8464
452	15459	8429
453	15491	8393
454	15518	8356
455	15554	8322
456	15586	8287
457	15617	8252
458	15650	8217
459	15685	8183
460	15723	8151
461	15759	8118
462	15795	8085
463	15833	8053
464	15866	8018
465	15901	7985
466	15933	7949
467	15963	7913
468	15996	7878
469	16027	7843
470	16062	7809
471	16102	7778
472	16133	7742
473	16171	7710
474	16208	7677
475	16241	7643
476	16275	7608
477	16306	7573
478	16341	7539
479	16376	7505
480	16413	7473
481	16452	7441
482	16487	7407
483	16521	7373
484	16557	7339
485	16601	7310
486	16635	7276
487	16672	7242
488	16705	7208
489	16743	7175
490	16780	7142
491	16813	7108
492	16839	7070
493	16871	7035
494	16901	6999
495	16933	6964
496	16967	6930
497	16999	6895
498	17029	6859
499	17061	6824
500	17094	6789
501	17125	6754
502	17157	6719
503	17187	6684
504	17218	6648
505	17250	6613
506	17281	6578
507	17314	6544
508	17345	6508
509	17385	6476
510	17419	6442
511	17451	6407
512	17481	6372
513	17509	6335
514	17539	6300
515	17571	6265
516	17602	6230
517	17632	6195
518	17664	6160
519	17697	6126
520	17730	6091
521	17768	6059
522	17802	6024
523	17832	5989
524	17865	5955
525	17896	5920
526	17926	5884
527	17955	5849
528	17987	5814
529	18024	5781
530	18058	5747
531	18092	5713
532	18126	5679
533	18165	5647
534	18200	5613
535	18233	5578
536	18266	5544
537	18300	5510
538	18333	5476
539	18366	5441
540	18400	5407
541	18430	5372
542	18463	5338
543	18495	5303
544	18528	5269
545	18558	5234
546	18590	5199
547	18619	5164
548	18647	5128
549	18676	5093
550	18707	5058
551	18738	5024
552	18768	4989
553	18800	4954
554	18832	4920
555	18865	4886
556	18895	4851
557	18927	4816
558	18957	4781
559	18987	4746
560	19020	4712
561	19053	4678
562	19089	4645
563	19120	4610
564	19154	4576
565	19185	4542
566	19216	4507
567	19247	4473
568	19279	4438
569	19309	4403
570	19340	4369
571	19373	4335
572	19405	4301
573	19440	4267
574	19472	4233
575	19505	4199
576	19540	4165
577	19573	4131
578	19609	4097
579	19643	4064
580	19676	4030
581	19712	3996
582	19751	3963
583	19781	3929
584	19811	3894
585	19845	3860
586	19878	3826
587	19909	3792
588	19941	3758
589	19972	3723
590	20005	3689
591	20037	3655
592	20068	3621
593	20099	3586
594	20132	3552
595	20167	3519
596	20201	3485
597	20238	3451
598	20271	3418
599	20301	3383
600	20331	3349
601	20364	3315
602	20396	3281
603	20431	3247
604	20468	3214
605	20500	3179
606	20538	3146
607	20573	3113
608	20606	3079
609	20640	3045
610	20671	3011
611	20704	2977
612	20738	2943
613	20776	2910
614	20808	2876
615	20841	2842
616	20876	2808
617	20908	2774
618	20948	2741
619	20983	2707
620	21017	2673
621	21048	2639
622	21078	2605
623	21110	2571
624	21142	2537
625	21173	2502
626	21203	2468
627	21235	2434
628	21268	2400
629	21299	2366
630	21330	2332
631	21361	2298
632	21391	2264
633	21422	2230
634	21453	2195
635	21482	2161
636	21513	2127
637	21543	2093
638	21575	2059
639	21605	2025
640	21636	1991
641	21665	1957
642	21702	1923
643	21732	1889
644	21768	1856
645	21805	1822
646	21838	1788
647	21871	1755
648	21908	1721
649	21939	1687
650	21970	1653
651	22000	1619
652	22031	1585
653	22062	1551
654	22092	1517
655	22130	1484
656	22161	1450
657	22193	1416
658	22227	1382
659	22265	1349
660	22296	1315
661	22332	1281
662	22367	1248
663	22398	1214
664	22431	1180
665	22463	1146
666	22495	1112
667	22525	1079
668	22555	1045
669	22587	1011
670	22619	977
671	22654	943
672	22687	910
673	22726	876
674	22761	843
675	22796	809
676	22829	775
677	22862	741
678	22896	708
679	22928	674
680	22961	640
681	22993	606
682	23026	573
683	23061	539
684	23094	505
685	23125	471
686	23157	438
687	23189	404
688	23235	370
689	23272	337
690	23306	303
691	23337	269
692	23370	236
693	23403	202
694	23436	168
695	23470	134
696	23503	101
697	23535	67
698	23567	33
699	23603	0
