iter	Logloss
144	0.5920386859
145	0.5919826787
146	0.5919224325
147	0.5918941213
148	0.5918702432
149	0.5918465361
150	0.5918118419
151	0.5917964272
152	0.5917003084
153	0.5916713033
154	0.5916361496
155	0.5915783191
156	0.5915395873
157	0.5914880059
158	0.5914721365
159	0.5914281515
160	0.5913875346
161	0.5913666383
162	0.5913134244
163	0.5912510994
164	0.5910737628
165	0.5910397747
166	0.5909948423
167	0.5909645951
168	0.5909435431
169	0.5909132986
170	0.5908392625
171	0.5907126772
172	0.5906614731
173	0.5905996583
174	0.5905552154
175	0.5904112712
176	0.5903348903
177	0.5903166845
178	0.5902152135
179	0.590162475
180	0.590133309
181	0.5900232944
182	0.5899657552
183	0.5899478338
184	0.5899004999
185	0.5898714848
186	0.5897735156
187	0.5897413969
188	0.5897203883
189	0.5896053804
190	0.5895427233
191	0.5894553742
192	0.5893557677
193	0.5893067631
194	0.5891574577
195	0.5891039084
196	0.5890662842
197	0.5889319346
198	0.5888847244
199	0.5887688335
200	0.5887109922
201	0.5886792133
202	0.5886215663
203	0.5885885286
204	0.5884937294
205	0.5884541017
206	0.5884058881
207	0.5882838883
208	0.5882469256
209	0.5881780365
210	0.588124588
211	0.5880191495
212	0.5878996986
213	0.5878750071
214	0.5878018959
215	0.5877799539
216	0.5877431273
217	0.5877040831
218	0.587600666
219	0.587553563
220	0.5874488463
221	0.5874125639
222	0.5873504164
223	0.587307523
224	0.587277339
225	0.5871950713
226	0.5871249114
227	0.5871013981
228	0.5870487058
229	0.5870203269
230	0.5870015159
231	0.5869780851
232	0.5869202763
233	0.5868778447
234	0.5868305878
235	0.5867928048
236	0.5867236659
237	0.5866966911
238	0.5866607676
239	0.5865984106
240	0.5865563573
241	0.5865181772
242	0.5864826734
243	0.5864095304
244	0.5863311433
245	0.5863050056
246	0.5862436494
247	0.5862049363
248	0.5861808166
249	0.5861539887
250	0.5861023085
251	0.5860723778
252	0.5860430321
253	0.5859828613
254	0.5859607703
255	0.5859258729
256	0.5859026701
257	0.5858626423
258	0.5858249447
259	0.5857921555
260	0.5857728788
261	0.5857345385
262	0.5857069767
263	0.5856841049
264	0.5856597043
265	0.5856280533
266	0.5855888641
267	0.5855140112
268	0.5854872445
269	0.5854385001
270	0.5854101907
271	0.585389316
272	0.585362173
273	0.5853352902
274	0.5853077273
275	0.5852899894
276	0.5852479371
277	0.585207553
278	0.585185252
279	0.5851529975
280	0.5851185844
281	0.5850817847
282	0.585056374
283	0.5850117616
284	0.5849603664
285	0.5849329762
286	0.5849088612
287	0.5848856272
288	0.5848599356
289	0.58483506
290	0.5848033672
291	0.5847853692
292	0.5847603188
293	0.5847387774
294	0.5847031943
295	0.5846877803
296	0.5846575896
297	0.584634731
298	0.5846045098
299	0.5845752168
300	0.5845514658
301	0.5845367682
302	0.5844891097
303	0.5844663651
304	0.5844298464
305	0.5844025925
306	0.5843722441
307	0.5843355805
308	0.5843016886
309	0.5842748524
310	0.5842349577
311	0.5842068195
312	0.5841662474
313	0.5841406322
314	0.5841185509
315	0.5840796061
316	0.5840565842
317	0.5840328637
318	0.5840082123
319	0.5839869426
320	0.5839673363
321	0.5839479974
322	0.5839280614
323	0.5839042829
324	0.5838778063
325	0.5838559685
326	0.5838350978
327	0.5838139541
328	0.5837835227
329	0.5837604699
330	0.583740702
331	0.5837135935
332	0.5836934836
333	0.5836655282
334	0.5836327867
335	0.5835872184
336	0.5835691037
337	0.5835511186
338	0.5835353981
339	0.5835172641
340	0.5834958032
341	0.5834786379
342	0.5834592471
343	0.5834428827
344	0.583422881
345	0.5834039458
346	0.5833405242
347	0.5833172953
348	0.5832846552
349	0.5832629299
350	0.5832502122
351	0.5832263607
352	0.5831961483
353	0.5831715208
354	0.5831565773
355	0.5831350014
356	0.5831192443
357	0.5831013286
358	0.5830817217
359	0.5830559006
360	0.5830433515
361	0.5829916193
362	0.5829684699
363	0.5829355801
364	0.5829113464
365	0.582887603
366	0.58286881
367	0.5828494997
368	0.5828306176
369	0.5828083675
370	0.5827830501
371	0.5827593325
372	0.5827393991
373	0.5827032381
374	0.5826745258
375	0.5826535835
376	0.5826226347
377	0.5826007079
378	0.5825736759
379	0.5825568193
380	0.58252864
381	0.5825056538
382	0.5824666288
383	0.582446032
384	0.5824341845
385	0.5824185274
386	0.5823976396
387	0.5823780866
388	0.5823633229
389	0.5823442055
390	0.5823245677
391	0.5823075089
392	0.582272566
393	0.5822525494
394	0.5822318381
395	0.5822014485
396	0.5821695844
397	0.5821338697
398	0.5821125982
399	0.5820887109
400	0.5820465941
401	0.5820204535
402	0.5819953678
403	0.5819638599
404	0.5819451937
405	0.5819311727
406	0.5819133458
407	0.5819005043
408	0.5818711351
409	0.581856769
410	0.5818371557
411	0.5818216304
412	0.581785978
413	0.5817674978
414	0.5817444603
415	0.5817248795
416	0.5816934833
417	0.5816776714
418	0.5816634115
419	0.5816433892
420	0.5816219131
421	0.5815829716
422	0.5815644761
423	0.5815428014
424	0.5815263783
425	0.5815105981
426	0.5814897946
427	0.5814696202
428	0.5814454838
429	0.5814269323
430	0.5814086766
431	0.5813906295
432	0.5813730675
433	0.5813452326
434	0.5813325576
435	0.5813153504
436	0.5812981713
437	0.5812721391
438	0.5812519761
439	0.581227719
440	0.5812157519
441	0.5811921747
442	0.5811688782
443	0.5811420747
444	0.5811001049
445	0.5810717686
446	0.5810528118
447	0.5810371083
448	0.581014303
449	0.5809903599
450	0.5809782364
451	0.5809605532
452	0.5809393723
453	0.5809143012
454	0.5808990998
455	0.5808782754
456	0.5808635511
457	0.5808403783
458	0.5808241599
459	0.5807950855
460	0.5807701461
461	0.5807541246
462	0.5807381014
463	0.5807205065
464	0.5806971566
465	0.5806791087
466	0.5806523564
467	0.5806352332
468	0.5806197002
469	0.5805861508
470	0.580561179
471	0.580550977
472	0.5805328321
473	0.5805197793
474	0.5804783827
475	0.5804602509
476	0.5804395045
477	0.5804166316
478	0.5803896361
479	0.5803705872
480	0.5803681872
481	0.5803467482
482	0.580331479
483	0.5803196294
484	0.5802989317
485	0.5802810215
486	0.5802634892
487	0.5802408089
488	0.5802211632
489	0.5802024678
490	0.5801850539
491	0.5801652386
492	0.5801640857
493	0.5801529275
494	0.5801337542
495	0.5801183089
496	0.5800952019
497	0.5800788636
498	0.5800612954
499	0.5800445572
500	0.5800093269
501	0.5799896497
502	0.579971548
503	0.5799352076
504	0.5799155671
505	0.579887239
506	0.5798697756
507	0.579847978
508	0.5798321028
509	0.57980319
510	0.5797846371
511	0.5797592041
512	0.5797398266
513	0.5797040529
514	0.579679811
515	0.5796618259
516	0.579648126
517	0.5796346393
518	0.5796100758
519	0.5795916461
520	0.5795712274
521	0.5795414687
522	0.5795240012
523	0.5795163236
524	0.579497971
525	0.5794756877
526	0.5794615305
527	0.5794444623
528	0.5794315143
529	0.5793978439
530	0.5793743705
531	0.5793571599
532	0.5793564303
533	0.5793349377
534	0.5793148674
535	0.5792923664
536	0.5792764815
537	0.579256355
538	0.5792430329
539	0.5792242122
540	0.579202667
541	0.5791874945
542	0.5791633302
543	0.5791434642
544	0.5791155843
545	0.5790953201
546	0.5790751493
547	0.57905895
548	0.5790363959
549	0.5790219218
550	0.5790057181
551	0.5789840289
552	0.578978566
553	0.5789565136
554	0.5789371715
555	0.5789195796
556	0.5788903071
557	0.5788689856
558	0.5788679759
559	0.5788592561
560	0.5788387535
561	0.5788145965
562	0.5787916838
563	0.578780819
564	0.5787633977
565	0.5787501456
566	0.5787308849
567	0.5787164748
568	0.5786945622
569	0.5786700056
570	0.5786467476
571	0.5786297477
572	0.5786083124
573	0.5785894755
574	0.5785750005
575	0.5785636146
576	0.578540639
577	0.5785237684
578	0.578502065
579	0.5784821485
580	0.5784638858
581	0.5784473959
582	0.5784216511
583	0.5784211534
584	0.5784018143
585	0.5783856249
586	0.5783744079
587	0.5783530935
588	0.5783374441
589	0.578317398
590	0.5782924355
591	0.5782707929
592	0.578251585
593	0.5782317836
594	0.5782157883
595	0.5781990004
596	0.5781773402
597	0.5781621896
598	0.578147328
599	0.5781272672
600	0.5781120355
601	0.578095166
602	0.5780730623
603	0.5780503304
604	0.5780244438
605	0.5780032645
606	0.5779765458
607	0.5779565318
608	0.5779404029
609	0.5779251356
610	0.5779072609
611	0.5778823607
612	0.5778575605
613	0.5778395759
614	0.5778186042
615	0.5777971095
616	0.5777817851
617	0.577780984
618	0.5777665895
619	0.5777478689
620	0.5777152577
621	0.5776982226
622	0.5776854398
623	0.5776644985
624	0.5776451747
625	0.5776158488
626	0.5776010188
627	0.5775784525
628	0.5775573615
629	0.5775390472
630	0.5775200297
631	0.5775045312
632	0.5774823626
633	0.5774623302
634	0.5774365452
635	0.5774218934
636	0.5774059994
637	0.5773803349
638	0.5773561444
639	0.5773412521
640	0.5773198736
641	0.5772996249
642	0.5772825882
643	0.5772593527
644	0.5772364084
645	0.5772140475
646	0.5771927369
647	0.5771639602
648	0.5771431333
649	0.5771211233
650	0.5770983307
651	0.5770838728
652	0.5770699652
653	0.5770482221
654	0.5770299405
655	0.5770082791
656	0.5769884053
657	0.5769705031
658	0.5769542341
659	0.5769388995
660	0.5769219745
661	0.5768994372
662	0.5768778756
663	0.5768633286
664	0.576841002
665	0.5768198338
666	0.5768039694
667	0.5767839838
668	0.5767680244
669	0.5767469646
670	0.5767333687
671	0.5767175026
672	0.5767038822
673	0.5766849057
674	0.5766679226
675	0.5766500098
676	0.5766356426
677	0.5766118716
678	0.5765881247
679	0.5765746515
680	0.5765558373
681	0.5765343152
682	0.5765125368
683	0.5764934243
684	0.5764734222
685	0.5764553972
686	0.5764388046
687	0.5764171566
688	0.576400551
689	0.5763794389
690	0.576368487
691	0.5763509235
692	0.5763345727
693	0.5763152879
694	0.5762980914
695	0.5762774396
696	0.5762599979
697	0.5762495682
698	0.5762469892
699	0.5762276242
